id,Variable,Indicator
578,agency_latent_resc,1
577,fies4_fac_resc,1
576,fies4_fac,
575,fies3_fac_resc,
574,fies3_fac,
573,fies2_fac_resc,
572,fies2_fac,
571,agency_latent, 
570,access_remittances,
569,absorp_latent_resc,1
568,absorp_latent,
567,emerg_fac,
566,emerg_effective,
565,ews_latent,
564,ews_fac_conflict,
563,ews_fac_farming,
562,ews_fac_weather,
561,ews_fac_prices,
560,inc_fac_safetynet,
559,inc_fac_farmer,
558,inc_fac_proprent,
557,inc_fac_wage,
556,inc_fac_agwage,
555,inc_fac_pettytrade,
554,inc_fac_livestocksales,
553,grp_latent,
552,grp_fac_nature,
551,grp_fac_sports,
550,grp_fac_finance,
549,grp_fac_women,
548,grp_fac_cattle,
547,cohesion_latent_resc,1
546,cohesion_latent,
545,bridging_fac_resc,1
544,bridging_fac,
543,bonding_fac_resc,1
542,bonding_fac,
541,forward_outlook,
540,loc_comp_resc,1
539,loc_comp,
538,aspirations_comp_resc,1
537,aspirations_comp,
536,q638_bin,
535,q637_bin,
534,q636_bin,
533,emerg_sum,
532,emerg4,
531,emerg3,
530,emerg2,
529,emerg1,
528,conflict,
527,emerg_plan,
526,warn_sum,
525,warn_foodprices,
524,warn_conflict,
523,warn_grazing,
522,warn_prices,
521,warn_animalprices,
520,warn_crops,
519,warn_livestock,
518,warn_water,
517,warn_rainfall,
516,warn_weather,
515,warn_hazards,
514,grp_sum,
513,grp_animalherding,
512,grp_cattleprotect,
511,grp_herding,
510,grp_raiding,
509,grp_disaster,
508,grp_sports,
507,grp_youth,
506,grp_women,
505,grp_mother,
504,grp_relig,
503,grp_help,
502,grp_savings,
501,grp_credit,
500,grp_resource,
499,grp_land,
498,grp_water,
497,donor_act,
496,shocks,
495,shock_death,
494,shock_illness,
493,shock_nosell,
492,shock_livestocktheft,
491,shock_livestockdisease,
490,shock_livestockinputs,
489,shock_croptheft,
488,shock_croppests,
487,shock_cropdisease,
486,shock_cropinputs,
485,shock_theft,
484,shock_foodprice,
483,shock_lostland,
482,shock_erosion,
481,shock_drought,
480,shock_flood,
479,q827_rec,
478,q825_rec,
477,q824_rec,
476,against_earlymarriage,
475,against_cattleraid,
474,hh_sex,
473,locality,
472,aspirations_index2_cen,
471,aspirations_index2,
470,asp6,
469,asp5,
468,asp4,
467,asp3,
466,asp2,
465,asp1,
464,urban,
463,final_wt1,
462,hh_wt,
461,hh_sample,
460,hh_pop_list,
459,county_wt1,
458,hh_pop_est_nbs,
457,county_hh_pop_nbs,
456,resil_c,
455,social_capital_score,
454,arssi,
453,mean_shock_exposure,
452,shock_exposure_adjust,
451,shock_exposure_index,
450,death_severity,
449,illness_severity,
448,nosell_severity,
447,livestocktheft_severity,
446,livestockdisease_severity,
445,livestockinput_severity,
444,croptheft_severity,
443,pest_severity,
442,cropdisease_severity,
441,aginput_severity,
440,theft_severity,
439,foodpriceinc_severity,
438,lossland_severity,
437,erosion_severity,
436,littlerain_severity,
435,flood_severity,
434,ability_recover,
433,shock_stress,
432,ews_participate,
431,fies_cat,
430,fies_raw,
429,bridging_capital_score,
428,bridging_capital_raw,
427,bonding_capital_score,
426,bonding_capital_raw,
425,hdds,
424,meat,
423,fruit,
422,vegetable,
421,trauma,
420,grp_participate,
419,aspirations_index,
418,belief_future,
417,abs_fatalism3,
416,abs_fatalism2,
415,abs_fatalism1,
414,track_trace,
413,q_205,
412,dup_task,
411,q_901,
410,q_832_bin,
409,q_832_new,
408,q_831_bin,
407,q_831_new,
406,q_830_bin,
405,q_830_new,
404,q_829_bin,
403,q_829,
402,q_827_bin,
