conflict,UN,Traditional elders,Police/Army,Other,Judiciary,Faith-based organization,Dialogue,Alternative dispute resolution
land,0.010652732896124317,0.6320014370242969,0.02614212722743227,0.00997038478482918,0.046302496489789007,0.029230605726000284,0.13264002205352618,0.09487498055097118
water,0.005696565154302426,0.48291579316726335,0.015858539206285927,0.01145807188201726,0.11977475221558895,0.016962953667892,0.2282489769799958,0.10492263378162943
pasture,0.007720746705568502,0.6209182995870722,0.010896508727926805,0.010115268242982908,0.04146834450179867,0.02119217269989764,0.18242246782015342,0.08913667990974947
forest,0.009656823755215132,0.755319649188311,0.007400146941251543,0.0013221445684881519,0.028937446612792884,0.015965722618408295,0.10313957403598771,0.05884905713312376
cattle,0.012383100137441368,0.5492725423339531,0.019104981092701773,0.02348373110749139,0.050572179955442255,0.01989981062088699,0.20795753301131903,0.10305199262813072
goat,0.010356397253383125,0.6172786573347747,0.017305911176180678,0.007817833956147791,0.05039510707304227,0.015531379414391039,0.16986054072976106,0.09393257965311803
migration,0.008699456009467097,0.6651176090121821,0.010198124438242598,0.012297280674875868,0.033341875600696895,0.02034488453381721,0.12580164491409676,0.10275887153727709
boundary,0.010874957201694502,0.6946835497682606,0.010138549896302165,0.004235248827350452,0.036958664422700245,0.01780987868378157,0.15786087585079542,0.061694934268526826
revenge,0.011420011568721578,0.5755913188627169,0.021812552154709813,0.018182926868950695,0.046513601392728636,0.012376334019436958,0.21819947746583623,0.08200555148457805
dowry,0.00956676249844755,0.6403148657389072,0.01657056164587853,0.0036449560582193083,0.05126149795438432,0.012877112611604827,0.1590382490649488,0.09178976133172034
elope,0.0075411274788415,0.6197173059510745,0.01561443444700383,0.006163508671470483,0.05309062611651758,0.018381822878299866,0.16632696203436953,0.09834263276505699
cattleraid,0.009504657925218873,0.5536349989793538,0.018276030431011225,0.031707019350228384,0.04745636384283834,0.017005159346394627,0.20651750844346187,0.10440660200831732
fishing,0.00913442559210366,0.6712501200730581,0.010482082061056422,0.007094633730660263,0.03471848248810818,0.016197255150053404,0.18256895207118498,0.06149134907028493
gbv,0.0075206507082042386,0.5529808870699762,0.014879017850939973,0.006215411493346622,0.11808922665712435,0.013061714333652755,0.19072070812762412,0.08344262473319626
livelihood,0.007416127683523349,0.63082020828624,0.01041712209297363,0.004457697347855122,0.04603135809407823,0.02312198603198044,0.18224565409197802,0.08122545244064101
agriculture,0.007331602893297,0.6770414348202662,0.013928071451369636,0.002792931172565185,0.04021351146518891,0.01666791426566827,0.15726030153044582,0.077818489936943
