county,q_314,Number,tot,freq,rank,activity_lab
Akobo,1,1629,1949,0.8358132375577219,1,Crop farming
Akobo,2,31,1949,0.01590559261159569,5,Defense
Akobo,3,27,1949,0.013853258081067214,6,Education
Akobo,4,152,1949,0.07798871216008209,2,Animal husbandry
Akobo,5,56,1949,0.028732683427398667,3,Trade
Akobo,6,37,1949,0.018984094407388404,4,Public administration
Akobo,7,5,1949,0.002565418163160595,8,Health
Akobo,8,2,1949,0.001026167265264238,9,Construction
Akobo,9,10,1949,0.00513083632632119,7,Public servant
Baliet,1,781,1455,0.5367697594501718,1,Crop farming
Baliet,2,150,1455,0.10309278350515463,3,Defense
Baliet,3,284,1455,0.19518900343642612,2,Education
Baliet,4,69,1455,0.04742268041237113,5,Animal husbandry
Baliet,5,48,1455,0.032989690721649485,6,Trade
Baliet,6,10,1455,0.006872852233676976,8,Public administration
Baliet,7,6,1455,0.004123711340206186,9,Health
Baliet,8,21,1455,0.01443298969072165,7,Construction
Baliet,9,86,1455,0.05910652920962199,4,Public servant
Budi,1,1509,2088,0.7227011494252874,1,Crop farming
Budi,2,18,2088,0.008620689655172414,6,Defense
Budi,3,312,2088,0.14942528735632185,2,Education
Budi,4,101,2088,0.04837164750957854,3,Animal husbandry
Budi,5,73,2088,0.034961685823754786,4,Trade
Budi,6,12,2088,0.005747126436781609,8,Public administration
Budi,7,16,2088,0.007662835249042145,7,Health
Budi,8,1,2088,4.789272030651341e-4,9,Construction
Budi,9,46,2088,0.022030651340996167,5,Public servant
Duk,1,811,1395,0.5813620071684588,1,Crop farming
Duk,2,80,1395,0.05734767025089606,4,Defense
Duk,3,217,1395,0.15555555555555556,2,Education
Duk,4,209,1395,0.14982078853046596,3,Animal husbandry
Duk,5,42,1395,0.030107526881720432,5,Trade
Duk,6,4,1395,0.002867383512544803,9,Public administration
Duk,7,9,1395,0.0064516129032258064,8,Health
Duk,8,13,1395,0.00931899641577061,6,Construction
Duk,9,10,1395,0.007168458781362007,7,Public servant
Jur River,1,1841,2478,0.7429378531073446,1,Crop farming
Jur River,2,55,2478,0.022195318805488296,4,Defense
Jur River,3,418,2478,0.16868442292171107,2,Education
Jur River,4,69,2478,0.02784503631961259,3,Animal husbandry
Jur River,5,35,2478,0.014124293785310734,5,Trade
Jur River,6,24,2478,0.009685230024213076,6,Public administration
Jur River,7,17,2478,0.006860371267150928,7,Health
Jur River,8,6,2478,0.002421307506053269,9,Construction
Jur River,9,13,2478,0.005246166263115416,8,Public servant
Kapoeta North,1,951,1582,0.6011378002528445,1,Crop farming
Kapoeta North,2,4,1582,0.0025284450063211127,6,Defense
Kapoeta North,3,17,1582,0.010745891276864728,3,Education
Kapoeta North,4,592,1582,0.37420986093552466,2,Animal husbandry
Kapoeta North,5,7,1582,0.004424778761061947,5,Trade
Kapoeta North,7,10,1582,0.006321112515802781,4,Health
Kapoeta North,9,1,1582,6.321112515802782e-4,7,Public servant
Leer,1,1660,2196,0.75591985428051,1,Crop farming
Leer,2,42,2196,0.01912568306010929,6,Defense
Leer,3,103,2196,0.046903460837887066,4,Education
Leer,4,151,2196,0.06876138433515483,2,Animal husbandry
Leer,5,108,2196,0.04918032786885246,3,Trade
Leer,6,83,2196,0.0377959927140255,5,Public administration
Leer,7,23,2196,0.010473588342440802,8,Health
Leer,8,1,2196,4.553734061930783e-4,9,Construction
Leer,9,25,2196,0.011384335154826957,7,Public servant
Mayendit,1,1062,1622,0.654747225647349,1,Crop farming
Mayendit,2,27,1622,0.016646115906288533,6,Defense
Mayendit,3,333,1622,0.20530209617755857,2,Education
Mayendit,4,95,1622,0.058569667077681874,3,Animal husbandry
Mayendit,5,40,1622,0.02466091245376079,4,Trade
Mayendit,6,14,1622,0.008631319358816275,8,Public administration
Mayendit,7,28,1622,0.01726263871763255,5,Health
Mayendit,8,1,1622,6.165228113440197e-4,9,Construction
Mayendit,9,22,1622,0.013563501849568433,7,Public servant
Paynijar,1,965,1555,0.6205787781350482,1,Crop farming
Paynijar,2,42,1555,0.027009646302250803,6,Defense
Paynijar,3,176,1555,0.11318327974276528,2,Education
Paynijar,4,166,1555,0.1067524115755627,3,Animal husbandry
Paynijar,5,102,1555,0.06559485530546624,4,Trade
Paynijar,6,34,1555,0.021864951768488745,7,Public administration
Paynijar,7,25,1555,0.01607717041800643,8,Health
Paynijar,9,45,1555,0.028938906752411574,5,Public servant
Pibor,1,334,548,0.6094890510948905,1,Crop farming
Pibor,2,1,548,0.0018248175182481751,8,Defense
Pibor,3,5,548,0.009124087591240875,4,Education
Pibor,4,181,548,0.3302919708029197,2,Animal husbandry
Pibor,5,1,548,0.0018248175182481751,8,Trade
Pibor,6,3,548,0.005474452554744526,6,Public administration
Pibor,7,2,548,0.0036496350364963502,7,Health
Pibor,8,18,548,0.032846715328467155,3,Construction
Pibor,9,3,548,0.005474452554744526,6,Public servant
Ulang,1,2322,2741,0.8471360817219993,1,Crop farming
Ulang,2,28,2741,0.010215249908792412,6,Defense
Ulang,3,164,2741,0.0598321780372127,2,Education
Ulang,4,32,2741,0.011674571324334184,5,Animal husbandry
Ulang,5,101,2741,0.03684786574242977,3,Trade
Ulang,6,70,2741,0.02553812477198103,4,Public administration
Ulang,7,17,2741,0.006202116016052536,7,Health
Ulang,8,5,2741,0.0018241517694272164,8,Construction
Ulang,9,2,2741,7.296607077708865e-4,9,Public servant
Uror,1,1953,2226,0.8773584905660378,1,Crop farming
Uror,2,17,2226,0.0076370170709793355,4,Defense
Uror,3,39,2226,0.01752021563342318,3,Education
Uror,4,185,2226,0.08310871518418689,2,Animal husbandry
Uror,5,10,2226,0.004492362982929021,6,Trade
Uror,6,3,2226,0.0013477088948787063,8,Public administration
Uror,7,11,2226,0.004941599281221923,5,Health
Uror,9,8,2226,0.0035938903863432167,7,Public servant
Wau,1,495,2076,0.2384393063583815,2,Crop farming
Wau,2,147,2076,0.0708092485549133,4,Defense
Wau,3,748,2076,0.3603082851637765,1,Education
Wau,4,47,2076,0.022639691714836225,8,Animal husbandry
Wau,5,374,2076,0.18015414258188825,3,Trade
Wau,6,47,2076,0.022639691714836225,8,Public administration
Wau,7,41,2076,0.0197495183044316,9,Health
Wau,8,81,2076,0.03901734104046243,6,Construction
Wau,9,96,2076,0.046242774566473986,5,Public servant
