Region,State,County,Indicator,Range,Score,Value_se,var_name,margin,lower,upper,ci,ci2,cnty_rnk
Great Upper Nile,Unity,Leer,Food Insecurity Experience Scale,0-9,7.878303447258113,0.0329075798174372,fies,0.06449885644217691,7.813804590815936,7.94280230370029,781.4% - 794.3%,7.8 - 7.9,1
Great Upper Nile,Jonglei,Pibor,Food Insecurity Experience Scale,0-9,7.873552046589248,0.046068413711059596,fies,0.0902940908736768,7.783257955715571,7.963846137462925,778.3% - 796.4%,7.8 - 8,2
Equatoria,Eastern Equatoria,Kapoeta North,Food Insecurity Experience Scale,0-9,7.837407507071184,0.04622766612486623,fies,0.09060622560473781,7.746801281466446,7.928013732675922,774.7% - 792.8%,7.7 - 7.9,3
Great Upper Nile,Upper Nile,Ulang,Food Insecurity Experience Scale,0-9,7.820443340029,0.07639475339700356,fies,0.149733716658127,7.670709623370873,7.970177056687127,767.1% - 797%,7.7 - 8,4
Great Upper Nile,Jonglei,Uror,Food Insecurity Experience Scale,0-9,7.797371919953319,0.0652508781191398,fies,0.127891721113514,7.669480198839805,7.925263641066833,766.9% - 792.5%,7.7 - 7.9,5
Great Upper Nile,Jonglei,Duk,Food Insecurity Experience Scale,0-9,7.739126898795908,0.06886586878411431,fies,0.13497710281686404,7.604149795979044,7.874104001612771,760.4% - 787.4%,7.6 - 7.9,6
Great Upper Nile,Unity,Mayendit,Food Insecurity Experience Scale,0-9,7.68096256312508,0.07439232391261383,fies,0.1458089548687231,7.535153608256357,7.826771517993803,753.5% - 782.7%,7.5 - 7.8,7
Great Upper Nile,Jonglei,Akobo,Food Insecurity Experience Scale,0-9,7.679874315594193,0.0941388854776275,fies,0.18451221553614988,7.495362100058044,7.864386531130343,749.5% - 786.4%,7.5 - 7.9,8
Great Upper Nile,Upper Nile,Baliet,Food Insecurity Experience Scale,0-9,7.623310845767749,0.13514037963651848,fies,0.26487514408757623,7.358435701680173,7.888185989855326,735.8% - 788.8%,7.4 - 7.9,9
Great Upper Nile,Unity,Paynijar,Food Insecurity Experience Scale,0-9,7.5841587859761,0.14479753051556898,fies,0.2838031598105152,7.300355626165585,7.867961945786615,730% - 786.8%,7.3 - 7.9,10
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,Food Insecurity Experience Scale,0-9,7.2203062267945715,0.0954551297315844,fies,0.18709205427390543,7.033214172520666,7.407398281068477,703.3% - 740.7%,7 - 7.4,11
Equatoria,Eastern Equatoria,Budi,Food Insecurity Experience Scale,0-9,7.0699509318279725,0.253475783071633,fies,0.49681253482040066,6.573138397007572,7.566763466648373,657.3% - 756.7%,6.6 - 7.6,12
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,Food Insecurity Experience Scale,0-9,6.413840259478621,0.2532630639912225,fies,0.4963956054227961,5.917444654055825,6.910235864901417,591.7% - 691%,5.9 - 6.9,13
