Disaggregate,Disaggregate type,fies,hdds
Overall,Overall,7.579314767104401,6.364611408025578
Locality,Rural,7.60536082087714,5.570756982204386
Locality,Urban,7.523785194895778,8.0483422488613
Head of household sex, Female-headed,7.540414302089971,6.140926134649214
Head of household sex,Male-headed,7.543785062343046,6.288161014936209
County,Akobo,7.679874315594193,6.079698158889319
County,Baliet,7.623310845767749,5.557574354061373
County,Budi,7.0699509318279725,3.9964195158207447
County,Duk,7.739126898795908,6.222908086707404
County,Jur River,7.2203062267945715,5.228722875469346
County,Kapoeta North,7.837407507071184,6.6674412899710145
County,Leer,7.878303447258113,6.263467702908664
County,Mayendit,7.68096256312508,5.9966318419615225
County,Paynijar,7.5841587859761,5.786391403990183
County,Pibor,7.873552046589248,9.43507584265234
County,Ulang,7.820443340029,5.813216157879664
County,Uror,7.797371919953319,4.9797168956011255
County,Wau,6.413840259478621,6.14222985611894
