Region,State,County,Indicator,Range,Score,Value_se,var_name,margin,lower,upper,ci,ci2,cnty_rnk
Great Upper Nile,Jonglei,Uror,Household Hunger Scale,0-6,3.655234363,0.14214925,hhs,0.278612529,3.376621834,3.933846893,337.7% - 393.4%,3.4 - 3.9,1
Great Upper Nile,Unity,Leer,Household Hunger Scale,0-6,3.385086854,0.065457192,hhs,0.128296096,3.256790758,3.513382949,325.7% - 351.3%,3.3 - 3.5,2
Great Upper Nile,Upper Nile,Ulang,Household Hunger Scale,0-6,3.282645592,0.195644851,hhs,0.383463907,2.899181685,3.666109499,289.9% - 366.6%,2.9 - 3.7,3
Great Upper Nile,Jonglei,Duk,Household Hunger Scale,0-6,3.100130248,0.163918746,hhs,0.321280742,2.778849506,3.421410991,277.9% - 342.1%,2.8 - 3.4,4
Great Upper Nile,Upper Nile,Baliet,Household Hunger Scale,0-6,3.049800948,0.075699364,hhs,0.148370753,2.901430195,3.198171701,290.1% - 319.8%,2.9 - 3.2,5
Great Upper Nile,Unity,Mayendit,Household Hunger Scale,0-6,3.007462937,0.06797204,hhs,0.133225199,2.874237738,3.140688136,287.4% - 314.1%,2.9 - 3.1,6
Great Upper Nile,Unity,Panyijar,Household Hunger Scale,0-6,2.969401871,0.10704493,hhs,0.209808063,2.759593808,3.179209934,276% - 317.9%,2.8 - 3.2,7
Great Upper Nile,Jonglei,Pibor,Household Hunger Scale,0-6,2.865572131,0.050970722,hhs,0.099902616,2.765669515,2.965474747,276.6% - 296.5%,2.8 - 3,8
Great Upper Nile,Jonglei,Akobo,Household Hunger Scale,0-6,2.577683118,0.077061324,hhs,0.151040194,2.426642924,2.728723313,242.7% - 272.9%,2.4 - 2.7,9
Equatoria,Eastern Equatoria,Budi,Household Hunger Scale,0-6,2.534139381,0.168973469,hhs,0.331187999,2.202951382,2.86532738,220.3% - 286.5%,2.2 - 2.9,10
Equatoria,Eastern Equatoria,Kapoeta North,Household Hunger Scale,0-6,2.5034214,0.100654502,hhs,0.197282824,2.306138577,2.700704224,230.6% - 270.1%,2.3 - 2.7,11
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,Household Hunger Scale,0-6,2.194573244,0.232764775,hhs,0.456218959,1.738354284,2.650792203,173.8% - 265.1%,1.7 - 2.7,12
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,Household Hunger Scale,0-6,1.98010481,0.154357765,hhs,0.30254122,1.67756359,2.282646029,167.8% - 228.3%,1.7 - 2.3,13
