county,Value,Value_se,var_name,label,margin,lower,upper,ci,ci2,cnty_rnk
Akobo,0.8415445465836638,0.022957223624532497,705,Illness,0.0449961583040837,0.7965483882795802,0.8865407048877475,79.7% - 88.7%,0.8 - 0.9,1
Akobo,0.4086034320145959,0.0494256947728533,705,Check-up,0.09687436175479247,0.31172907025980345,0.5054777937693884,31.2% - 50.5%,0.3 - 0.5,2
Akobo,0.31011039364295556,0.04483673690828055,705,Immunization,0.08788000434022987,0.2222303893027257,0.3979903979831854,22.2% - 39.8%,0.2 - 0.4,3
Akobo,0.16243463540845182,0.026185441302421213,705,Prenatal care,0.051323464952745576,0.11111117045570625,0.2137581003611974,11.1% - 21.4%,0.1 - 0.2,4
Akobo,0.08715346499649503,0.019307140376776923,705,Postnatal care,0.03784199513848277,0.049311469858012255,0.1249954601349778,4.9% - 12.5%,0 - 0.1,5
Akobo,0.0622944950228985,0.023923629393550666,705,HIV services,0.046890313611359306,0.015404181411539195,0.10918480863425781,1.5% - 10.9%,0 - 0.1,6
Akobo,0.020132357685154926,0.006864438220033442,705,Growth monitoring,0.013454298911265546,0.00667805877388938,0.033586656596420475,0.7% - 3.4%,0 - 0,7
Akobo,0.019957403420346482,0.007664060837787681,705,Malnutrition,0.015021559242063854,0.004935844178282628,0.03497896266241034,0.5% - 3.5%,0 - 0,8
Akobo,0.017699528987961802,0.007037303468333404,705,Family planning,0.013793114797933471,0.00390641419002833,0.03149264378589527,0.4% - 3.1%,0 - 0,9
Baliet,0.9312016230238679,0.02281919929961404,705,Illness,0.044725630627243516,0.8864759923966243,0.9759272536511114,88.6% - 97.6%,0.9 - 1,1
Baliet,0.6521825355703921,0.08495840407887788,705,Immunization,0.16651847199460063,0.48566406357579145,0.8187010075649928,48.6% - 81.9%,0.5 - 0.8,2
Baliet,0.4396232275264531,0.0946902184389875,705,Check-up,0.1855928281404155,0.2540303993860376,0.6252160556668687,25.4% - 62.5%,0.3 - 0.6,3
Baliet,0.3443747386626193,0.07192550968784671,705,Malnutrition,0.14097399898817956,0.20340073967443975,0.4853487376507989,20.3% - 48.5%,0.2 - 0.5,4
Baliet,0.2649416314926741,0.03837782903008974,705,Prenatal care,0.07522054489897588,0.18972108659369818,0.34016217639165,19% - 34%,0.2 - 0.3,5
Baliet,0.23289957271312817,0.04146687662401756,705,Postnatal care,0.08127507818307442,0.15162449453005375,0.31417465089620256,15.2% - 31.4%,0.2 - 0.3,6
Baliet,0.04842267795612499,0.02526952483113609,705,Growth monitoring,0.04952826866902673,-0.0011055907129017412,0.09795094662515172,-0.1% - 9.8%,0 - 0.1,7
Baliet,0.03365209985639603,0.011579660645246528,705,Family planning,0.022696134864683196,0.010955964991712832,0.05634823472107922,1.1% - 5.6%,0 - 0.1,8
Baliet,0.008875867030973544,0.005743961140649886,705,HIV services,0.011258163835673777,-0.0023822968047002326,0.02013403086664732,-0.2% - 2%,0 - 0,9
Budi,0.9682921052005223,0.013535356937094683,705,Illness,0.02652929959670558,0.9417628056038168,0.9948214047972279,94.2% - 99.5%,0.9 - 1,1
Budi,0.44530702798853883,0.05444397012875492,705,Check-up,0.10671018145235964,0.33859684653617916,0.5520172094408985,33.9% - 55.2%,0.3 - 0.6,2
Budi,0.3367838853239391,0.055397154774639475,705,Immunization,0.10857842335829337,0.22820546196564573,0.4453623086822325,22.8% - 44.5%,0.2 - 0.4,3
Budi,0.15874425250750757,0.028064890851256605,705,Prenatal care,0.05500718606846294,0.10373706643904462,0.2137514385759705,10.4% - 21.4%,0.1 - 0.2,4
Budi,0.09540883980669704,0.042398091689596344,705,Malnutrition,0.08310025971160884,0.0123085800950882,0.17850909951830587,1.2% - 17.9%,0 - 0.2,5
Budi,0.08578924843565089,0.021109572952437747,705,Postnatal care,0.04137476298677798,0.04441448544887291,0.12716401142242886,4.4% - 12.7%,0 - 0.1,6
Budi,0.05909614504791847,0.019339134082244972,705,Family planning,0.037904702801200146,0.021191442246718324,0.09700084784911861,2.1% - 9.7%,0 - 0.1,7
Budi,0.0454414199785277,0.013247780451568204,705,HIV services,0.02596564968507368,0.01947577029345402,0.07140706966360139,1.9% - 7.1%,0 - 0.1,8
Budi,0.04231238961039892,0.01252131132133347,705,Growth monitoring,0.024541770189813603,0.017770619420585314,0.06685415980021252,1.8% - 6.7%,0 - 0.1,9
Duk,0.9669707113756857,0.013173502040609941,705,Illness,0.025820063999595484,0.9411506473760902,0.9927907753752812,94.1% - 99.3%,0.9 - 1,1
Duk,0.6827541331120043,0.058969876192970686,705,Check-up,0.11558095733822255,0.5671731757737817,0.7983350904502269,56.7% - 79.8%,0.6 - 0.8,2
Duk,0.6391096666202617,0.05853980853004047,705,Immunization,0.11473802471887931,0.5243716419013824,0.753847691339141,52.4% - 75.4%,0.5 - 0.8,3
Duk,0.38128242643699195,0.07531181202257763,705,Prenatal care,0.14761115156425214,0.2336712748727398,0.528893578001244,23.4% - 52.9%,0.2 - 0.5,4
Duk,0.35761362834766464,0.07911697526528663,705,Postnatal care,0.1550692715199618,0.20254435682770283,0.5126828998676265,20.3% - 51.3%,0.2 - 0.5,5
Duk,0.35748542153992097,0.07146087923475962,705,Malnutrition,0.14006332330012886,0.2174220982397921,0.49754874484004985,21.7% - 49.8%,0.2 - 0.5,6
Duk,0.32388603198999105,0.079511649925744,705,Family planning,0.15584283385445824,0.1680431981355328,0.4797288658444493,16.8% - 48%,0.2 - 0.5,7
Duk,0.24746219267391212,0.0721988775525037,705,Growth monitoring,0.14150980000290725,0.10595239267100487,0.38897199267681937,10.6% - 38.9%,0.1 - 0.4,8
Duk,0.2155632518265203,0.0712822856153991,705,HIV services,0.13971327980618223,0.07584997202033808,0.35527653163270256,7.6% - 35.5%,0.1 - 0.4,9
Jur River,0.8562869376219705,0.033898668222984596,705,Illness,0.06644138971704981,0.7898455479049207,0.9227283273390203,79% - 92.3%,0.8 - 0.9,1
Jur River,0.5858042021600052,0.03693420178451405,705,Check-up,0.07239103549764754,0.5134131666623576,0.6581952376576528,51.3% - 65.8%,0.5 - 0.7,2
Jur River,0.5661827975771678,0.044893824797174194,705,Immunization,0.08799189660246141,0.4781909009747064,0.6541746941796293,47.8% - 65.4%,0.5 - 0.7,3
Jur River,0.19726355157708966,0.04260274623355675,705,Postnatal care,0.08350138261777122,0.11376216895931844,0.28076493419486087,11.4% - 28.1%,0.1 - 0.3,4
Jur River,0.19202018773533697,0.040077432841097486,705,Prenatal care,0.07855176836855107,0.1134684193667859,0.27057195610388807,11.3% - 27.1%,0.1 - 0.3,5
Jur River,0.0829602822058812,0.02246005015697889,705,Family planning,0.044021698307678624,0.038938583898202574,0.12698198051355983,3.9% - 12.7%,0 - 0.1,6
Jur River,0.04962724353578589,0.012906417576447499,705,Malnutrition,0.025296578449837098,0.02433066508594879,0.07492382198562299,2.4% - 7.5%,0 - 0.1,7
Jur River,0.02355311425892453,0.008237042162115085,705,HIV services,0.016144602637745566,0.0074085116211789655,0.03969771689667009,0.7% - 4%,0 - 0,8
Jur River,0.02206418774201388,0.007052428310430873,705,Growth monitoring,0.013822759488444511,0.008241428253569369,0.03588694723045839,0.8% - 3.6%,0 - 0,9
Kapoeta North,0.9538450494369455,0.012490228731334263,705,Illness,0.024480848313415154,0.9293642011235304,0.9783258977503606,92.9% - 97.8%,0.9 - 1,1
Kapoeta North,0.5238105288755686,0.032434812500079624,705,Growth monitoring,0.06357223250015606,0.46023829637541247,0.5873827613757246,46% - 58.7%,0.5 - 0.6,2
Kapoeta North,0.5095217902392706,0.040968603436283196,705,Check-up,0.08029846273511507,0.4292233275041555,0.5898202529743857,42.9% - 59%,0.4 - 0.6,3
Kapoeta North,0.45062392713247706,0.04248821084232425,705,Prenatal care,0.08327689325095552,0.36734703388152157,0.5339008203834326,36.7% - 53.4%,0.4 - 0.5,4
Kapoeta North,0.4037028872072409,0.02657306539392112,705,Malnutrition,0.05208320817208539,0.3516196790351555,0.4557860953793263,35.2% - 45.6%,0.4 - 0.5,5
Kapoeta North,0.3428742068871035,0.05689457014459933,705,Immunization,0.11151335748341469,0.23136084940368884,0.4543875643705182,23.1% - 45.4%,0.2 - 0.5,6
Kapoeta North,0.23496490881345275,0.032882960817960105,705,Family planning,0.06445060320320181,0.17051430561025094,0.29941551201665456,17.1% - 29.9%,0.2 - 0.3,7
Kapoeta North,0.22385168453805096,0.03463761215103504,705,Postnatal care,0.06788971981602868,0.15596196472202228,0.29174140435407964,15.6% - 29.2%,0.2 - 0.3,8
Kapoeta North,0.15972653092015,0.019571754593321312,705,HIV services,0.03836063900290977,0.12136589191724022,0.19808716992305975,12.1% - 19.8%,0.1 - 0.2,9
Leer,0.91592453664689,0.010802221735197105,705,Illness,0.021172354600986328,0.8947521820459037,0.9370968912478763,89.5% - 93.7%,0.9 - 0.9,1
Leer,0.5816635328624822,0.053614393536432076,705,Check-up,0.10508421133140687,0.4765793215310753,0.6867477441938891,47.7% - 68.7%,0.5 - 0.7,2
Leer,0.46242805623327143,0.0404275969693244,705,Immunization,0.07923809005987582,0.3831899661733956,0.5416661462931472,38.3% - 54.2%,0.4 - 0.5,3
Leer,0.42020775539081884,0.026799570350200686,705,Prenatal care,0.052527157886393346,0.3676805975044255,0.4727349132772122,36.8% - 47.3%,0.4 - 0.5,4
Leer,0.32383719710247466,0.025203472656503335,705,Postnatal care,0.049398806406746536,0.2744383906957281,0.3732360035092212,27.4% - 37.3%,0.3 - 0.4,5
Leer,0.2366015837024117,0.0379014731260928,705,Growth monitoring,0.07428688732714189,0.1623146963752698,0.3108884710295536,16.2% - 31.1%,0.2 - 0.3,6
Leer,0.21364727510602385,0.028112510502089565,705,HIV services,0.05510052058409554,0.15854675452192832,0.2687477956901194,15.9% - 26.9%,0.2 - 0.3,7
Leer,0.12172750803866825,0.021835370621922603,705,Family planning,0.0427973264189683,0.07893018161969995,0.16452483445763655,7.9% - 16.5%,0.1 - 0.2,8
Leer,0.09352555133150281,0.019239573552389713,705,Malnutrition,0.03770956416268384,0.05581598716881897,0.13123511549418665,5.6% - 13.1%,0.1 - 0.1,9
Mayendit,0.8625603123189465,0.018797757398921706,705,Illness,0.03684360450188654,0.82571670781706,0.899403916820833,82.6% - 89.9%,0.8 - 0.9,1
Mayendit,0.3301615578773899,0.036028721949616184,705,Check-up,0.07061629502124772,0.25954526285614216,0.4007778528986376,26% - 40.1%,0.3 - 0.4,2
Mayendit,0.2697591343234591,0.03272196915426598,705,Immunization,0.06413505954236132,0.2056240747810978,0.3338941938658204,20.6% - 33.4%,0.2 - 0.3,3
Mayendit,0.1593153386035218,0.017487709997618894,705,Prenatal care,0.03427591159533303,0.12503942700818876,0.19359125019885481,12.5% - 19.4%,0.1 - 0.2,4
Mayendit,0.15017792859808438,0.02469066610674283,705,HIV services,0.04839370556921595,0.10178422302886843,0.19857163416730034,10.2% - 19.9%,0.1 - 0.2,5
