Region,State,County,Indicator,Range,Score,Value_se,var_name,margin,lower,upper,ci,ci2,cnty_rnk
Equatoria,Eastern Equatoria,Budi,Satisfaction with health clinici service,0-1,0.6994476323000428,0.07027620347263756,hlth_satis,0.13774135880636962,0.5617062734936732,0.8371889911064124,56.2% - 83.7%,0.6 - 0.8,1
Equatoria,Eastern Equatoria,Kapoeta North,Satisfaction with health clinici service,0-1,0.6990739243223578,0.04484065593846171,hlth_satis,0.08788768563938495,0.6111862386829728,0.7869616099617428,61.1% - 78.7%,0.6 - 0.8,2
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Wau,Satisfaction with health clinici service,0-1,0.6534235274943546,0.04610146589808835,hlth_satis,0.09035887316025316,0.5630646543341015,0.7437824006546078,56.3% - 74.4%,0.6 - 0.7,3
Great Upper Nile,Jonglei,Duk,Satisfaction with health clinici service,0-1,0.5278820691038595,0.09038183816927288,hlth_satis,0.17714840281177485,0.35073366629208463,0.7050304719156344,35.1% - 70.5%,0.4 - 0.7,4
Bahr-El-Ghazel,Western Bahr-El-Ghazel,Jur River,Satisfaction with health clinici service,0-1,0.48965948816625443,0.036324577158834505,hlth_satis,0.07119617123131562,0.4184633169349388,0.5608556593975701,41.8% - 56.1%,0.4 - 0.6,5
Great Upper Nile,Upper Nile,Baliet,Satisfaction with health clinici service,0-1,0.4740506896118309,0.0717343015899872,hlth_satis,0.1405992311163749,0.333451458495456,0.6146499207282058,33.3% - 61.5%,0.3 - 0.6,6
Great Upper Nile,Unity,Mayendit,Satisfaction with health clinici service,0-1,0.4688717606459374,0.039166712652271535,hlth_satis,0.07676675679845221,0.39210500384748515,0.5456385174443896,39.2% - 54.6%,0.4 - 0.5,7
Great Upper Nile,Jonglei,Akobo,Satisfaction with health clinici service,0-1,0.3792464694039645,0.06052418511725991,hlth_satis,0.11862740282982942,0.2606190665741351,0.4978738722337939,26.1% - 49.8%,0.3 - 0.5,8
Great Upper Nile,Jonglei,Pibor,Satisfaction with health clinici service,0-1,0.3567837296343566,0.03392648393536342,hlth_satis,0.0664959085133123,0.29028782112104434,0.4232796381476689,29% - 42.3%,0.3 - 0.4,9
Great Upper Nile,Unity,Leer,Satisfaction with health clinici service,0-1,0.3089506432690539,0.04779603878283435,hlth_satis,0.09368023601435532,0.2152704072546986,0.40263087928340924,21.5% - 40.3%,0.2 - 0.4,10
Great Upper Nile,Upper Nile,Ulang,Satisfaction with health clinici service,0-1,0.2664531907139944,0.08283676782292375,hlth_satis,0.16236006493293054,0.10409312578106389,0.42881325564692496,10.4% - 42.9%,0.1 - 0.4,11
Great Upper Nile,Unity,Paynijar,Satisfaction with health clinici service,0-1,0.2545817600489936,0.05263441841608597,hlth_satis,0.10316346009552849,0.1514182999534651,0.35774522014452204,15.1% - 35.8%,0.2 - 0.4,12
Great Upper Nile,Jonglei,Uror,Satisfaction with health clinici service,0-1,0.05577567702996099,0.015694574330736972,hlth_satis,0.030761365688244464,0.025014311341716524,0.08653704271820545,2.5% - 8.7%,0 - 0.1,13
