income_source,inc_lab,mean,se,margin,lower,upper
crop_production,Farm/crop production,0.5652528011783333,0.018749211687225428,0.03674845490696184,0.4932258295606881,0.6372797727959785
cattle_production,Cattle production/sales,0.5397737945654735,0.01727509926284851,0.033859194555183075,0.47340977323731465,0.6061378158936324
goat_production,Goat production/sales,0.45320407048284245,0.016425247637429304,0.03219348536936144,0.39010483915889405,0.5163033018067908
sheep_production,Sheep production/sales,0.3212588002945555,0.016490041195837732,0.03232048074384195,0.2579106580366253,0.38460694255248573
fishing,Fishing and sales,0.41524650951562736,0.015198843449342258,0.029789733160710825,0.35685863252063416,0.47363438651062056
Agwage_within,Ag wage labor in village,0.24840988059873684,0.015226014999461648,0.02984298939894483,0.18991762137680496,0.3069021398206687
Agwage_without,Ag wage labor outside village,0.10221139225537676,0.008188904168084992,0.016050252169446586,0.07075289800326146,0.13366988650749206
nonAgwage_within,Wage labor in village,0.30530831814373016,0.0171186973985381,0.03355264690113468,0.23954513021750617,0.37107150606995415
nonAgwage_without,Wage labor outside village,0.08887202813366789,0.008239615381996843,0.016149646148713812,0.05721872168218882,0.12052533458514696
salary,Salaried work,0.12150787518428537,0.00892875617668176,0.01750036210629625,0.08720716545594472,0.155808584912626
bush_products,Wild bush sales,0.3971334918202054,0.01869287195031701,0.03663802902262134,0.3253229549358676,0.4689440287045432
honey,Honey production/sales,0.23238773632717327,0.015424982991876402,0.030232966664077748,0.1731311216655809,0.2916443509887657
petty_trade_other,Petty trade other products,0.12468469520660426,0.010711448889722648,0.02099443982385639,0.08353559315184574,0.16583379726136277
petty_trade_own,Petty trade own products,0.13543038236823501,0.013459266520481487,0.026380162380143714,0.08372526410315334,0.1871355006333167
ownbiz_ag,Other self-employment ag,0.11191809017696314,0.009484324963028297,0.01858927692753546,0.07548310739899364,0.14835307295493264
ownbiz_nonag,Other self-employment non-ag,0.12105350489443371,0.012081105130917136,0.023678966056597587,0.07464273142350245,0.16746427836536498
rent,Rental of land/property,0.06145630485781368,0.006641069917151489,0.013016497037616918,0.035943970664084515,0.08696863905154284
remit,Remittances,0.05647854296036518,0.005345495525416614,0.010477171229816564,0.03594328734992472,0.07701379857080565
gifts,Gifts/inheritance,0.24369565750437244,0.018472808186525715,0.0362067040455904,0.17273051757501526,0.31466079743372966
safety_net,Food / cash safety net,0.2852077675011663,0.018676707946161785,0.036606347574477095,0.21345932625519115,0.3569562087471414
