county,payam,donor_activity,donor_activity_se,lower,upper
Akobo,Barmach,0.15537191247018917,0.11711052044339358,-0.07416470759886226,0.3849085325392406
Akobo,Bilkey,0.5257351584622791,0.04948753806645602,0.4287395838520254,0.6227307330725329
Akobo,Buong,1,0,1,1
Akobo,Dengjok,0.4670043591460604,0.045335905746654206,0.37814598388261816,0.5558627344095026
Akobo,Diror,0.5451629591811151,0.08282477031302372,0.3828264093675886,0.7074995089946416
Akobo,Nyandit,0.5272756310858188,0.10700842141804795,0.3175391251064448,0.7370121370651928
Akobo,Walgak,0.10653558564076121,0.08358421224366017,-0.0572894703568127,0.2703606416383351
Baliet,Adong,0.7240736048533951,0.10926929051781586,0.509905795438476,0.9382414142683142
Baliet,Akoka,0.6830422707626189,0.06238539383460067,0.5607668988468016,0.8053176426784362
Baliet,Akotweng,0.11764705882352941,1.7347234759768056e-18,0.11764705882352941,0.11764705882352941
Baliet,Gel Achiel(Gelachiel),1,0,1,1
Baliet,Kuel,0,0,0,0
Baliet,Nyongkuach,0.5135025401429191,0.12937336695149915,0.25993074091798074,0.7670743393678574
Baliet,Nyongrial,0.4155345354463939,0.2087641806285757,0.006356741414385525,0.8247123294784022
Baliet,Rom,0.553370046903251,0.15947113874573565,0.2408066149616091,0.8659334788448929
Baliet,Wunthow,0.23529411764705882,5.551115123125778e-17,0.2352941176470587,0.23529411764705893
Budi,Kimotong,0.6754659664159337,0.060564890310387955,0.5567587814075733,0.7941731514242941
Budi,Komori,0.40863803652056746,0.056354977078511906,0.2981822814466841,0.5190937915944508
Budi,Loriyok,0.9136596926240248,0.017321447374325907,0.879709655770346,0.9476097294777036
Budi,Lotukei,0.36537919086404547,0.16311756913571934,0.04566875535803555,0.6850896263700554
Budi,Loudo,0.7376694529629113,0.18162839715133006,0.3816777945463044,1.0936611113795183
Budi,Nagishot,0.14369891678177568,0.07395368565749115,-0.0012503071069069616,0.2886481406704583
Budi,Napak,0.6320303686690756,0.12004924941632518,0.3967338398130782,0.867326897525073
Budi,Nauro,0.8983398654804627,0.08715756443278345,0.7275110391922072,1.0691686917687182
Duk,Ageer,1,0,1,1
Duk,Dongchak,0.3305882300100981,0.10590667646000387,0.12301114414849054,0.5381653158717057
Duk,Padiet,0.8782980554745093,0.07055148977025823,0.7400171355248032,1.0165789754242154
Duk,Pagak,1,0,1,1
Duk,Panyang,0.9719419679722795,0.015095033952767777,0.9423557014248547,1.0015282345197043
Duk,Payuel,0.9712501442678292,0.026739419601974346,0.9188408818479594,1.023659406687699
Jur River,Kangi,0.31905838056484476,0.17765806506089452,-0.029151426954508508,0.667268188084198
Jur River,Kuajena,0.18185663380394798,0.03429978802348352,0.11462904927792028,0.24908421832997568
Jur River,Marial Bai,0.37226297354851545,0.030007817922665707,0.31344765042009065,0.43107829667694025
Jur River,Rocrocdong,0.44657544823732914,0.057221279192615895,0.334421741019802,0.5587291554548564
Jur River,Udici,0.2088504507336866,0.09052285860915378,0.03142564785974519,0.38627525360762804
Jur River,Wau Bai,0.3287152656802498,0.0523687489784261,0.2260725176825346,0.43135801367796495
Kapoeta North,Chumakori,0.7873559929267351,0.03852151400273958,0.7118538254813656,0.8628581603721046
Kapoeta North,Karukomuge,0.5608186911506979,0.05644927534421807,0.4501781114760305,0.6714592708253654
Kapoeta North,Lomeyen,0.429153791398908,0.0668010446959054,0.29822374379493344,0.5600838390028826
Kapoeta North,Mosingo,0.7580775340107125,0.05193714950241416,0.6562807209859808,0.8598743470354443
Kapoeta North,Najie,0.7953675192855767,0.03305229957118822,0.7305850121260478,0.8601500264451056
Kapoeta North,Paringa,0.7076405837229424,0.022129617135859158,0.6642665341366584,0.7510146333092264
Leer,Adok,0.25162242251344247,0.0675201225720699,0.11928298227218548,0.38396186275469946
Leer,Bou,0.5721564651310639,0.1327556221554462,0.31195544570638933,0.8323574845557384
Leer,Dok,0.37116665621880424,0.07167487173144127,0.23068390762517935,0.5116494048124292
Leer,Guat,0.2562888093927451,0.0791813466409215,0.101093369976539,0.41148424880895124
Leer,Juong Kang,0.2939198523740403,0.11129290838193377,0.07578575194545009,0.5120539528026304
Leer,Padeah,0.2149427874101447,0.036069745687279296,0.14424608586307727,0.28563948895721214
Leer,Payam,0.6345488253948739,0.10402811263349088,0.4306537246332318,0.838443926156516
Leer,Pilieny,0.4413852988269117,0.08620579998607714,0.2724219308542005,0.6103486667996229
Leer,Yang,0.33954440299070043,0.16898315380273735,0.008337421537335243,0.6707513844440656
Mayendit,Dablual(Daplual),0.2578623529489023,0.06091666490213098,0.1384656897407256,0.377259016157079
Mayendit,Luom,0.02973258390989625,0.019349383067011925,-0.008192206901447126,0.06765737472123962
Mayendit,Rubkuay,0.23699796390342856,0.01777949643621072,0.20215015088845556,0.27184577691840156
Mayendit,Thaker,0.27554818794474095,0.09683781946509831,0.08574606179314825,0.46535031409633365
Mayendit,Tutnyang,0.187056026839836,0.016713027500658673,0.154298492938545,0.21981356074112698
Paynijar,Ganyliel,0.8315874303203604,0.05184583301286731,0.7299695976151405,0.9332052630255804
