county,income_source,inc_lab,Percent,se,margin,lower,upper,ci,county_rank
Akobo,fishing,Fishing and sales,0.5448003211372713,0.059055772327919566,0.11574931376272235,0.42905100737454893,0.6605496348999936,42.9% - 66.1%,1
Akobo,bush_products,Wild bush sales,0.34336358594299504,0.04204015134799388,0.082398696642068,0.26096488930092704,0.42576228258506305,26.1% - 42.6%,2
Akobo,cattle_production,Cattle production/sales,0.28435520704668255,0.042664416375122874,0.08362225609524084,0.20073295095144172,0.36797746314192337,20.1% - 36.8%,3
Akobo,nonAgwage_within,Wage labor in village,0.22886094264503842,0.0418928118817642,0.08210991128825783,0.14675103135678058,0.31097085393329627,14.7% - 31.1%,4
Akobo,safety_net,Food / cash safety net,0.21090856628146784,0.03570892333267996,0.06998948973205271,0.14091907654941513,0.2808980560135206,14.1% - 28.1%,5
Akobo,gifts,Gifts/inheritance,0.1961294364596819,0.03115686863407189,0.061067462522780905,0.135061973936901,0.2571968989824628,13.5% - 25.7%,6
Akobo,crop_production,Farm/crop production,0.1833466325846706,0.033291594866856206,0.06525152593903816,0.11809510664563244,0.24859815852370876,11.8% - 24.9%,7
Akobo,honey,Honey production/sales,0.1274849094717906,0.025926853468860565,0.050816632798966706,0.07666827667282389,0.17830154227075729,7.7% - 17.8%,8
Akobo,goat_production,Goat production/sales,0.10696365193794967,0.01703294477324023,0.03338457175555085,0.07357908018239881,0.14034822369350053,7.4% - 14%,9
Akobo,salary,Salaried work,0.06493952061948088,0.015563325253417108,0.03050411749669753,0.034435403122783356,0.09544363811617841,3.4% - 9.5%,10
Akobo,petty_trade_own,Petty trade own products,0.045378140435631945,0.013912685463428824,0.027268863508320494,0.01810927692731145,0.07264700394395243,1.8% - 7.3%,11
Akobo,ownbiz_nonag,Other self-employment non-ag,0.039870394075862424,0.013651128117641052,0.02675621111057646,0.013114182965285964,0.06662660518643888,1.3% - 6.7%,12
Akobo,sheep_production,Sheep production/sales,0.030186145193423632,0.009991949516070771,0.01958422105149871,0.010601924141924922,0.04977036624492234,1.1% - 5%,13
Akobo,remit,Remittances,0.02856405396885047,0.0068722090560344815,0.013469529749827583,0.015094524219022888,0.042033583718678054,1.5% - 4.2%,14
Akobo,nonAgwage_without,Wage labor outside village,0.013696046475646529,0.007049453322034945,0.013816928511188493,-1.2088203554196444e-4,0.027512974986835022,0% - 2.8%,15
Akobo,ownbiz_ag,Other self-employment ag,0.012416371401168328,0.008512600727256313,0.016684697425422373,-0.004268326024254044,0.0291010688265907,-0.4% - 2.9%,16
Akobo,petty_trade_other,Petty trade other products,0.005321481437120921,0.00309693298741102,0.006069988655325599,-7.485072182046772e-4,0.01139147009244652,-0.1% - 1.1%,17
Akobo,Agwage_within,Ag wage labor in village,0.0039755018686389,0.0029005757222333654,0.0056851284155773965,-0.0017096265469384968,0.009660630284216296,-0.2% - 1%,18
Akobo,rent,Rental of land/property,0.002915302056654522,0.002066293225923078,0.0040499347228092324,-0.0011346326661547104,0.0069652367794637545,-0.1% - 0.7%,19
Akobo,Agwage_without,Ag wage labor outside village,0,0,0,0,0,0% - 0%,20
Baliet,Agwage_within,Ag wage labor in village,0.5212916746787654,0.06130192459674558,0.12015177220962132,0.40113990246914405,0.6414434468883867,40.1% - 64.1%,1
Baliet,fishing,Fishing and sales,0.4929576509983525,0.07834096696482354,0.15354829525105412,0.33940935574729836,0.6465059462494066,33.9% - 64.7%,2
Baliet,crop_production,Farm/crop production,0.4324675921899551,0.09000546374912345,0.17641070894828195,0.2560568832416732,0.608878301138237,25.6% - 60.9%,3
Baliet,bush_products,Wild bush sales,0.3666110040207112,0.08585669436313252,0.16827912095173975,0.19833188306897143,0.5348901249724509,19.8% - 53.5%,4
Baliet,safety_net,Food / cash safety net,0.2982596752452934,0.09472541311873245,0.1856618097127156,0.1125978655325778,0.483921484958009,11.3% - 48.4%,5
Baliet,Agwage_without,Ag wage labor outside village,0.29022114377745084,0.06277683898317901,0.12304260440703087,0.16717853937042,0.4132637481844817,16.7% - 41.3%,6
Baliet,goat_production,Goat production/sales,0.29008783301568686,0.07063642473818953,0.13844739248685148,0.15164044052883538,0.4285352255025383,15.2% - 42.9%,7
Baliet,cattle_production,Cattle production/sales,0.268087784986709,0.0789716160880555,0.15478436753258878,0.1133034174541202,0.4228721525192978,11.3% - 42.3%,8
Baliet,nonAgwage_within,Wage labor in village,0.20166407446422044,0.06078149696239201,0.11913173404628834,0.0825323404179321,0.32079580851050876,8.3% - 32.1%,9
Baliet,sheep_production,Sheep production/sales,0.20106449673884952,0.0742260606818212,0.14548307893636953,0.05558141780247999,0.34654757567521904,5.6% - 34.7%,10
Baliet,petty_trade_other,Petty trade other products,0.1720597632628006,0.03687715794661901,0.07227922957537326,0.09978053368742733,0.24433899283817384,10% - 24.4%,11
Baliet,petty_trade_own,Petty trade own products,0.15361721132994208,0.04497448317846972,0.08814998702980065,0.06546722430014143,0.24176719835974272,6.5% - 24.2%,12
Baliet,remit,Remittances,0.15262477571516714,0.03828639495747892,0.07504133411665867,0.07758344159850847,0.2276661098318258,7.8% - 22.8%,13
Baliet,salary,Salaried work,0.12314393637426282,0.021323320265905894,0.04179370772117555,0.08135022865308728,0.16493764409543837,8.1% - 16.5%,14
Baliet,nonAgwage_without,Wage labor outside village,0.12079153874603618,0.03451269111535848,0.06764487458610262,0.05314666415993356,0.18843641333213879,5.3% - 18.8%,15
Baliet,honey,Honey production/sales,0.11162808042948798,0.04368812876951509,0.08562873238824957,0.025999348041238407,0.19725681281773755,2.6% - 19.7%,16
Baliet,ownbiz_ag,Other self-employment ag,0.08659564663185032,0.02524104814884467,0.04947245437173556,0.03712319226011476,0.13606810100358588,3.7% - 13.6%,17
Baliet,gifts,Gifts/inheritance,0.07483175480698434,0.02495032751815355,0.04890264193558096,0.025929112871403384,0.1237343967425653,2.6% - 12.4%,18
Baliet,ownbiz_nonag,Other self-employment non-ag,0.05696369569829828,0.017446918408901918,0.034195960081447756,0.022767735616850526,0.09115965577974604,2.3% - 9.1%,19
Baliet,rent,Rental of land/property,0.01958478293462637,0.006689427878067369,0.013111278641012043,0.006473504293614329,0.03269606157563841,0.6% - 3.3%,20
Budi,crop_production,Farm/crop production,0.7305923872019374,0.05724230936841186,0.11219492636208725,0.6183974608398501,0.8427873135640247,61.8% - 84.3%,1
Budi,petty_trade_own,Petty trade own products,0.42029844534460425,0.08915710210662212,0.17474792012897936,0.2455505252156249,0.5950463654735836,24.6% - 59.5%,2
Budi,goat_production,Goat production/sales,0.3473401110208232,0.04675790089408963,0.09164548575241567,0.2556946252684075,0.43898559677323884,25.6% - 43.9%,3
Budi,bush_products,Wild bush sales,0.3149579594643485,0.06144421460238832,0.1204306606206811,0.19452729884366743,0.4353886200850296,19.5% - 43.5%,4
