variable,item,difficulty,discrimination
warn_hazards,Natural hazards,0.6370553399342271,1.6656427009314272
warn_weather,Weather patterns,0.79868512082133,1.9551132067583357
warn_rainfall,Upcoming rainfall,0.5060469856238918,2.1551101712319785
warn_water,Water prices/availability,1.0169219866784716,1.875697670075369
warn_livestock,Animal health,0.7818722137927292,1.9109718838629965
warn_crops,Crop health,0.7840470899109638,1.9687027402103048
warn_animalprices,Livestock prices,0.6238857760269102,2.43922186387207
warn_prices,Animal product prices,0.4787241579334708,2.40028036189356
warn_grazing,Grazing conditions,0.7764361501186787,2.610980155992574
warn_conflict,Conflict,0.4505964787912399,1.7970497239047958
warn_foodprices,Food prices,0.13503599205407904,1.7106017485437088
