item,group,ML3,ML4,ML2,ML1,ML5,difficulty,discrimination
grp_water,Water users,0.022678328418532276,0.08331701537372352,0.20443984355502318,0.07890395531291658,0.3963471713348874,0.5403871561618949,0.9082322333497512
grp_land,Grazing land users,0.5574000324417515,-0.009408984282297264,0.010144597212758774,0.06687752976333934,0.34964275930387045,0.476768981529985,2.2703027771310547
grp_resource,Community natural resources,0.021620600418189695,0.04113047642663237,0.02113380265413506,0.028114352827453115,0.9059138094302359,1.2888906215996785,1.5641328491590134
grp_credit,Credit/microfinance,0.18719112128659773,-0.092876541729952,0.6556488743901916,0.05622388158018127,0.1717152801860533,2.054019103689717,1.378111982721444
grp_savings,Savings,-0.024620790562547255,0.034275463077894655,1.0018343040052433,0.01900018114013033,-0.030095957867012454,2.554555890639959,1.047602347682005
grp_help,Mutual help,-0.0625002919092347,0.15704266886057197,0.3496191354833355,-0.10883797994841367,0.42702730362154157,1.950488174325071,0.9506127548967136
grp_relig,Religious,0.08583212001645561,0.5117183417615931,0.08730832051097195,0.21893572611767248,-0.09506160643734281,-0.9066403403687809,1.1296331042391081
grp_mother,Mothers,0.009545510267316724,0.878160581233861,-0.035058057590839374,-0.019510202489241662,0.10428962118077553,-0.05422027155262048,1.4294792205349247
grp_women,Women,-0.00481312605506426,0.9657710962829809,0.03852065274326928,-0.0033417014081826707,-0.03022578919340496,-0.3180525747393411,1.4130367182250474
grp_youth,Youth,0.2654690034092211,0.3935898222185084,-0.08434088091502849,0.41595499585219087,0.05476985581813049,-0.32787784477877774,1.9407117399405027
grp_sports,Sports,-0.03909071916445647,0.017030997410176624,0.051521883848658516,0.9802371892126639,0.011071596498398098,0.3244120032136888,1.0524021848567737
grp_disaster,Disaster planning,0.33830532682121456,0.04523303153787428,0.01423226271359005,0.3670181092029032,0.20608200065042026,0.9205668184074535,1.6646904267722913
grp_raiding,Cattle raiding,0.8618399014989739,-0.05267755966555683,-0.023641683511735286,0.0672515841353825,0.006523752910354251,0.7051078774026641,2.4016098899065503
grp_herding,Cattle herding,0.991894558147451,0.0519676507598765,0.005577750400319985,-0.07045778827954245,-0.007685209186826518,0.038215161454716415,6.242969655466084
grp_cattleprotect,Cattle protection,0.986758160106514,0.012452727874642681,0.02173497886266164,-0.07110855009330184,0.01584168675219923,0.035786584508632605,5.489366197775939
grp_animalherding,Small animal herding,0.7623156990768889,0.04240011702380076,0.06002276029840166,0.16646197443627503,-0.06527662736397732,0.20545210446235138,2.638922407259635
