Disaggregate,Disaggregate type,Value,Lower,Upper
Overall,Overall,4.022398688533952,3.8684333311616848,4.17636404590622
Region,Equatoria,3.8987544239810075,3.4703878646305606,4.327120983331454
Region,Greater Upper Nile,4.0377821883711595,3.872565440446637,4.202998936295682
State,Eastern Equatoria,3.8987544239810075,3.4703878646305606,4.327120983331454
State,Jonglei,4.054379953997378,3.8798648988546103,4.228895009140146
State,Unity,3.769969068880122,3.5455676772982887,3.9943704604619557
County,Akobo,3.4728807573373692,3.192886270781121,3.7528752438936173
County,Budi,3.8987544239810075,3.4703878646305606,4.327120983331454
County,Duk,4.164356768228503,3.616680139856243,4.712033396600763
County,Leer,3.769969068880122,3.5455676772982887,3.9943704604619557
County,Pibor,5.191341257496918,4.959094790049216,5.423587724944621
County,Uror,3.175337302587718,2.954212973818577,3.3964616313568587
