state,var_name,shock,shock_lab,mn,se,lower,upper,state_rank
Eastern Equatoria,foodprice,5,Increase in food prices,0.7266129032258064,0.01266207571823861,0.7017952348180587,0.7514305716335541,1
Eastern Equatoria,drought,2,Drought,0.6064516129032258,0.013879106009543042,0.5792485651245214,0.6336546606819302,2
Eastern Equatoria,nosell,14,Unable to sell,0.5903755868544601,0.016857467505356154,0.5573349505439621,0.6234162231649581,3
Eastern Equatoria,croppests,9,Crop pests,0.5435483870967742,0.014150794545329956,0.5158128297879275,0.5712839444056209,4
Eastern Equatoria,cropdisease,8,Crop disease,0.5387096774193548,0.014162140782268596,0.5109518814861084,0.5664674733526013,5
Eastern Equatoria,livestockdisease,12,Livestock disease,0.5016129032258064,0.01420470083676999,0.47377168958573723,0.5294541168658756,6
Eastern Equatoria,flood,1,Floods,0.45806451612903226,0.014154725970724468,0.4303212532264123,0.48580777903165223,7
Eastern Equatoria,cropinputs,7,No crop inputs,0.45564516129032256,0.014148772774036995,0.42791356665321006,0.48337675592743506,8
Eastern Equatoria,livestockinputs,11,No livestock inputs,0.392741935483871,0.01387409392794469,0.36554871138509937,0.4199351595826426,9
Eastern Equatoria,illness,15,Illness in household,0.3744131455399061,0.01659031267698462,0.3418961326930163,0.40693015838679597,10
Eastern Equatoria,erosion,3,Erosion,0.36612903225806454,0.01368616782250344,0.3393041433259578,0.39295392119017125,11
Eastern Equatoria,livestocktheft,13,Livestock theft,0.3629032258064516,0.013660370048108862,0.33612890051215827,0.389677551100745,12
Eastern Equatoria,lostland,4,Loss of land,0.3411290322580645,0.013468643990816771,0.3147304900360636,0.3675275744800654,13
Eastern Equatoria,theft,6,Theft,0.2524193548387097,0.01234112347417928,0.22823075282931832,0.2766079568481011,14
Eastern Equatoria,death,16,Death in household,0.2323943661971831,0.014478284105610188,0.20401692935018712,0.2607718030441791,15
Eastern Equatoria,croptheft,10,Crop theft,0.20161290322580644,0.01139804227128381,0.17927274037409016,0.22395306607752272,16
Jonglei,flood,1,Floods,0.9070167886353853,0.006026689625484288,0.8952044769694361,0.9188291003013345,1
Jonglei,foodprice,5,Increase in food prices,0.8984072320275506,0.006269557770484631,0.8861188987974007,0.9106955652577005,2
Jonglei,nosell,14,Unable to sell,0.7955439056356488,0.010327547114603033,0.7753019132910268,0.8157858979802708,3
Jonglei,illness,15,Illness in household,0.6133682830930537,0.01247023031820993,0.5889266316693622,0.6378099345167452,4
Jonglei,erosion,3,Erosion,0.5919070167886353,0.010199413526759378,0.5719161662761869,0.6118978673010838,5
Jonglei,livestockdisease,12,Livestock disease,0.5738269479121825,0.010262480726611406,0.5537124856880241,0.5939414101363408,6
Jonglei,livestockinputs,11,No livestock inputs,0.5467068445975032,0.01033084221593291,0.5264583938542747,0.5669552953407316,7
Jonglei,lostland,4,Loss of land,0.5363753766681016,0.010348718062397535,0.5160918892658025,0.5566588640704008,8
Jonglei,livestocktheft,13,Livestock theft,0.4855789926818769,0.01037189675366584,0.46525007504469185,0.5059079103190619,9
Jonglei,theft,6,Theft,0.4808437365475678,0.010368595281822641,0.4605212897951954,0.5011661832999401,10
Jonglei,drought,2,Drought,0.46491605682307363,0.010350638109444168,0.44462880612856304,0.4852033075175842,11
Jonglei,cropinputs,7,No crop inputs,0.44468359879466207,0.010312517496817879,0.42447106450089905,0.4648961330884251,12
Jonglei,cropdisease,8,Crop disease,0.4373654756780026,0.010294478010245436,0.4171882987779216,0.45754265257808363,13
Jonglei,croppests,9,Crop pests,0.41928540680154974,0.01024012211678926,0.3992147674526428,0.4393560461504567,14
