region,state,county,Shock,shock_lab,mn,se,lower,upper,county_rank,,,
Great Upper Nile,Jonglei,Akobo,flood,Floods,6.4,0.103639929,6.225665739,6.631934261,1,,,
Great Upper Nile,Jonglei,Akobo,foodpriceinc,Increase in food prices,6.4,0.106912857,6.2064508,6.6255492,2,,,
Great Upper Nile,Jonglei,Akobo,erosion,Erosion,4.3,0.14553687,4.004347735,4.574852265,3,,,
Great Upper Nile,Jonglei,Akobo,lossland,Loss of land,3.5,0.147746227,3.249617394,3.828782606,4,,,
Great Upper Nile,Jonglei,Akobo,livestockdisease,Livestock disease,2.1,0.134413888,1.874148779,2.401051221,5,,, 
Great Upper Nile,Jonglei,Akobo,livestockinput,No livestock inputs,2.0,0.131040428,1.754360761,2.268039239,6,,,
Great Upper Nile,Jonglei,Akobo,nosell,Unable to sell,1.8,0.126956484,1.591165292,2.088834708,7,,,
Great Upper Nile,Jonglei,Akobo,theft,Theft,1.5,0.119128907,1.315307343,1.782292657,8,,,
Great Upper Nile,Jonglei,Akobo,littlerain,Drought,1.4,0.108187567,1.194352368,1.618447632,9,,,
Great Upper Nile,Jonglei,Akobo,livestocktheft,Livestock theft,1.0,0.102867483,0.812779734,1.216020266,10,,,
Great Upper Nile,Jonglei,Akobo,illness,Illness in household,1.0,0.101476202,0.797906645,1.195693355,11,,,
Great Upper Nile,Jonglei,Akobo,cropdisease,Crop disease,0.9,0.098524499,0.734891982,1.121108018,12,,,
Great Upper Nile,Jonglei,Akobo,pest,Crop pests,0.9,0.095064113,0.684074338,1.056725662,13,,,
Great Upper Nile,Jonglei,Akobo,aginput,No crop inputs,0.9,0.093770609,0.685009606,1.052590394,14,,,
Great Upper Nile,Jonglei,Akobo,death,Death in household,0.6,0.080194789,0.423618215,0.737981785,15,,,
Great Upper Nile,Jonglei,Akobo,croptheft,Crop theft,0.2,0.048010683,0.113899062,0.302100938,16,,,
Great Upper Nile,Upper Nile,Baliet,flood,Floods,6.3,0.101124081,6.084544406,6.480950802,1,,,
Great Upper Nile,Upper Nile,Baliet,foodpriceinc,Increase in food prices,5.8,0.11883371,5.548236088,6.014064232,2,,,
Great Upper Nile,Upper Nile,Baliet,lossland,Loss of land,4.0,0.14600906,3.672288695,4.244644212,3,,,
Great Upper Nile,Upper Nile,Baliet,littlerain,Drought,3.5,0.142600569,3.193346335,3.752340566,4,,,
Great Upper Nile,Upper Nile,Baliet,erosion,Erosion,3.3,0.139932484,2.981323385,3.529858723,5,,,
Great Upper Nile,Upper Nile,Baliet,pest,Crop pests,2.8,0.14393239,2.559745551,3.123960519,6,,,
Great Upper Nile,Upper Nile,Baliet,theft,Theft,2.5,0.137629983,2.18232191,2.721831444,7,,,
