county,trauma_feelings,lower,upper
Pibor,0.9131205673758865,0.8984472805396809,0.9277938542120922
Ulang,0.6373801916932907,0.6032531430160566,0.6715072403705249
Duk,0.6332046332046332,0.5996527159641997,0.6667565504450667
Paynijar,0.5679611650485437,0.5341335397401319,0.6017887903569554
Kapoeta North,0.5058043117744611,0.4722672429939051,0.539341380555017
Mayendit,0.47029702970297027,0.43307123512315204,0.5075228242827885
Akobo,0.4608,0.4257936851908333,0.49580631480916665
Budi,0.44516129032258067,0.40709669390871805,0.4832258867364433
Uror,0.4090909090909091,0.37904062616336454,0.4391411920184537
Leer,0.4032258064516129,0.3647396792749875,0.44171193362823824
Baliet,0.2939297124600639,0.2552559108195045,0.3326035141006233
Jur River,0.27823240589198034,0.23871445125888685,0.3177503605250738
Wau,0.26009693053311794,0.22089759740702933,0.29929626365920653
